"Hospital Location","Insurance","Surgery","Category","Unit","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Gyeongnam","Medical Insurance","Stent Insertion - Aortic valve replacement - 스텐트삽입술","Surgery Received Person[Person]","Person","700","863","1101","1927","2148","2172","2474","2357","2550","2684","3010","3483","3376","3430","3287","3269","3089",
"Gyeongnam","Medical Insurance","Stent Insertion - Aortic valve replacement - 스텐트삽입술","Surgery Count[Unit]","Surgery","713","887","1126","1986","2191","2211","2523","2400","2605","2739","3060","3558","3437","3488","3424","3438","3412",
"Gyeongnam","Medical Insurance","Coronary Artery Bypass Graft - Graft replacement of Aorta - 관상동맥 우회수술","Surgery Received Person[Person]","Person","31","23","26","69","76","81","80","88","90","90","85","92","113","91","173","146","182",
"Gyeongnam","Medical Insurance","Coronary Artery Bypass Graft - Graft replacement of Aorta - 관상동맥 우회수술","Surgery Count[Unit]","Surgery","31","23","26","69","76","81","80","88","90","90","85","94","113","91","178","156","199",
"Gyeongnam","Medical Insurance","Cardiac Catheterization - Aortic valve replacement - 심장 카테터 삽입술","Surgery Received Person[Person]","Person","8","10","15","120","152","171","143","125","234","222","255","216","170","243","152","200","195",
"Gyeongnam","Medical Insurance","Cardiac Catheterization - Aortic valve replacement - 심장 카테터 삽입술","Surgery Count[Unit]","Surgery","8","10","15","124","163","181","154","132","247","233","266","229","175","299","163","221","203",
"Gyeongnam","Medical Insurance","Varicose Vein Ligation and Stripping - PDA ligation - 정맥류 결찰 및 제거수술","Surgery Received Person[Person]","Person","715","963","100","794","1212","1201","1260","1439","1324","1167","1311","1284","1194","1267","1292","1108","900",
"Gyeongnam","Medical Insurance","Varicose Vein Ligation and Stripping - PDA ligation - 정맥류 결찰 및 제거수술","Surgery Count[Unit]","Surgery","726","974","131","799","1241","1232","1297","1497","1379","1186","1336","1311","1216","1300","1320","1124","915",
"Gyeongnam","Medical Insurance","Appendectomy - Exploratory Laparotomy - 충수절제술","Surgery Received Person[Person]","Person","7222","7461","6999","7659","6768","6231","6581","6449","6295","5903","5856","5395","5059","5143","4924","4877","4509",
"Gyeongnam","Medical Insurance","Appendectomy - Exploratory Laparotomy - 충수절제술","Surgery Count[Unit]","Surgery","7224","7466","7004","7686","6771","6233","6589","6453","6306","5945","5932","5544","5101","5150","4996","5055","4844",
"Gyeongnam","Medical Insurance","Pacemaker Insertion, Replacement, Removal, and Adjustment - Aortic valve replacement - 심박조율장치의 삽입,교체,제거 및 교정","Surgery Received Person[Person]","Person","85","123","67","156","125","145","299","273","355","338","416","396","486","510","498","593","666",
"Gyeongnam","Medical Insurance","Pacemaker Insertion, Replacement, Removal, and Adjustment - Aortic valve replacement - 심박조율장치의 삽입,교체,제거 및 교정","Surgery Count[Unit]","Surgery","85","124","69","159","128","145","301","281","378","362","438","413","509","535","531","625","768",
"Gyeongnam","Medical Insurance","Cholecystectomy - Laparoscopic cholecystectomy - 담낭절제술(복강경적 담낭절제술 포함)","Surgery Received Person[Person]","Person","1453","1474","1633","2139","2536","2675","3099","3481","3593","3690","4226","4570","4599","4851","4965","5028","5094",
"Gyeongnam","Medical Insurance","Cholecystectomy - Laparoscopic cholecystectomy - 담낭절제술(복강경적 담낭절제술 포함)","Surgery Count[Unit]","Surgery","1454","1476","1633","2139","2541","2676","3105","3484","3606","3699","4229","4639","4608","4863","5058","5226","5569",
"Gyeongnam","Medical Insurance","Endoscopic and Percutaneous Biliary Surgery - Pylorus preserving pancreaticoduodenectomy - 내시경 및 경피적 담도수술","Surgery Received Person[Person]","Person","473","487","624","960","1262","1296","1497","1634","1746","1719","2055","2169","2264","2251","2483","2998","3069",
"Gyeongnam","Medical Insurance","Endoscopic and Percutaneous Biliary Surgery - Pylorus preserving pancreaticoduodenectomy - 내시경 및 경피적 담도수술","Surgery Count[Unit]","Surgery","493","514","655","1033","1364","1435","1643","1834","1976","1971","2413","2634","2777","2808","3424","4396","4708",
"Gyeongnam","Medical Insurance","Inguinal and Femoral Hernia Surgery - Exploratory laparotomy - 서혜 및 대퇴 허니아 수술","Surgery Received Person[Person]","Person","1805","1762","1704","1964","1955","1897","1944","1992","1951","1905","1776","1748","1768","1736","1627","1688","1621",
"Gyeongnam","Medical Insurance","Inguinal and Femoral Hernia Surgery - Exploratory laparotomy - 서혜 및 대퇴 허니아 수술","Surgery Count[Unit]","Surgery","1830","1779","1729","1992","1979","1919","1965","2016","1972","1919","1814","1817","1803","1756","1658","1730","1699",
"Gyeongnam","Medical Insurance","Transurethral Resection of the Prostate (TURP) - Transurethral resection of prostate - 경요도 전립선 절제술","Surgery Received Person[Person]","Person","65","73","104","109","141","117","403","316","401","466","499","626","562","553","594","689","765",
"Gyeongnam","Medical Insurance","Transurethral Resection of the Prostate (TURP) - Transurethral resection of prostate - 경요도 전립선 절제술","Surgery Count[Unit]","Surgery","66","73","104","109","142","120","405","322","403","471","505","646","564","554","600","705","810",
"Gyeongnam","Medical Insurance","Prostatectomy - Prostatectomy - 전립선 절제술","Surgery Received Person[Person]","Person","68","39","63","77","82","112","104","136","99","57","38","57","22","44","53","32","13",
"Gyeongnam","Medical Insurance","Prostatectomy - Prostatectomy - 전립선 절제술","Surgery Count[Unit]","Surgery","68","39","63","77","82","112","104","136","99","57","38","58","22","44","53","33","13",
"Gyeongnam","Medical Insurance","Hysterectomy - Total abdominal hysterectomy - 자궁절제술","Surgery Received Person[Person]","Person","4020","4100","3911","4569","3546","2064","2266","2276","1991","1801","1957","1973","1837","1728","1954","2058","1904",
"Gyeongnam","Medical Insurance","Hysterectomy - Total abdominal hysterectomy - 자궁절제술","Surgery Count[Unit]","Surgery","4028","4113","3926","4598","3550","2064","2266","2278","1997","1805","1960","1990","1840","1731","1977","2099","1954",
"Gyeongnam","Medical Insurance","Cesarean Section - Low cervical cesarean section - 제왕절개수술","Surgery Received Person[Person]","Person","8185","9121","8675","8917","9644","9353","10300","9446","9785","10159","9744","9133","8661","8511","8074","7811","7727",
"Gyeongnam","Medical Insurance","Cesarean Section - Low cervical cesarean section - 제왕절개수술","Surgery Count[Unit]","Surgery","8208","9124","8676","8934","9645","9354","10304","9450","9791","10168","9753","9147","8674","8516","8109","7912","7933",
"Gyeongnam","Medical Insurance","Hip Replacement Surgery - Total hip replacement - 고관절 치환술","Surgery Received Person[Person]","Person","210","238","204","297","322","312","361","429","1122","1235","1264","1368","1368","1361","1292","1377","1440",
"Gyeongnam","Medical Insurance","Hip Replacement Surgery - Total hip replacement - 고관절 치환술","Surgery Count[Unit]","Surgery","218","244","210","301","332","318","370","445","1149","1262","1276","1409","1403","1393","1362","1455","1550",
"Gyeongnam","Medical Insurance","Knee Replacement Surgery - Total knee replacement - 슬관절 치환술","Surgery Received Person[Person]","Person","1069","1608","1847","1960","2266","2207","2371","2494","2624","2920","3301","3380","3317","3641","3311","3511","3721",
"Gyeongnam","Medical Insurance","Knee Replacement Surgery - Total knee replacement - 슬관절 치환술","Surgery Count[Unit]","Surgery","1128","1722","1986","2082","2426","2325","2517","2621","2754","3025","3399","3456","3403","3747","3479","3678","4013",
"Gyeongnam","Medical Insurance","Partial Mastectomy - Mastectomy - 유방 부분 절제술","Surgery Received Person[Person]","Person","150","170","173","109","1061","928","969","861","871","875","959","1027","1079","1129","1128","1344","1572",
"Gyeongnam","Medical Insurance","Partial Mastectomy - Mastectomy - 유방 부분 절제술","Surgery Count[Unit]","Surgery","150","170","173","111","1083","938","977","874","879","884","971","1045","1099","1158","1160","1388","1679",
"Gyeongnam","Medical Insurance","Total Mastectomy - Mastectomy - 유방 전 절제술","Surgery Received Person[Person]","Person","582","706","825","1097","202","214","338","292","397","444","351","377","223","256","283","280","278",
"Gyeongnam","Medical Insurance","Total Mastectomy - Mastectomy - 유방 전 절제술","Surgery Count[Unit]","Surgery","594","714","841","1139","202","214","338","293","403","446","351","391","223","257","293","292","299",
"Gyeongnam","Medical Insurance","Skull Base Surgery - Craniotomy and removal of brain tumor - 뇌기저부 수술","Surgery Received Person[Person]","Person","2","3","3","2","2","2","2","1","2","","2","-","-","3","2","3","-",
"Gyeongnam","Medical Insurance","Skull Base Surgery - Craniotomy and removal of brain tumor - 뇌기저부 수술","Surgery Count[Unit]","Surgery","2","3","3","2","2","2","2","1","2","","2","-","-","3","2","4","-",
"Gyeongnam","Medical Insurance","Brain Tumor Surgery - Craniotomy and removal of brain tumor - 뇌종양 수술","Surgery Received Person[Person]","Person","38","53","44","66","66","86","107","88","77","102","96","114","64","70","97","109","124",
"Gyeongnam","Medical Insurance","Brain Tumor Surgery - Craniotomy and removal of brain tumor - 뇌종양 수술","Surgery Count[Unit]","Surgery","38","54","45","66","69","89","108","91","77","103","97","118","66","71","113","123","150",
"Gyeongnam","Medical Insurance","Gastrectomy - Total gastrectomy - 위 절제술","Surgery Received Person[Person]","Person","324","301","228","426","506","524","543","636","600","627","730","768","765","695","670","733","758",
"Gyeongnam","Medical Insurance","Gastrectomy - Total gastrectomy - 위 절제술","Surgery Count[Unit]","Surgery","324","302","228","426","507","524","545","638","601","627","732","824","766","696","713","801","872",
"Gyeongnam","Medical Insurance","Liver Resection - Wedge resection of liver - 간 부분 절제술","Surgery Received Person[Person]","Person","64","75","73","113","177","202","247","242","267","266","272","223","224","198","244","260","256",
"Gyeongnam","Medical Insurance","Liver Resection - Wedge resection of liver - 간 부분 절제술","Surgery Count[Unit]","Surgery","65","75","73","113","178","202","252","243","269","270","274","231","225","202","259","291","288",
"Gyeongnam","Medical Insurance","Hepatic Embolization - Lobectomy of liver - 간색전술","Surgery Received Person[Person]","Person","276","274","274","518","615","711","703","718","785","857","918","924","917","943","912","1049","880",
"Gyeongnam","Medical Insurance","Hepatic Embolization - Lobectomy of liver - 간색전술","Surgery Count[Unit]","Surgery","408","368","359","672","795","913","918","901","1054","1144","1196","1201","1118","1140","1144","1313","1185",
"Gyeongnam","Medical Insurance","Thyroid Surgery - Bilateral thyroidectomy - 갑상선 수술(기타 질환에 의한 수술 포함)","Surgery Received Person[Person]","Person","519","675","636","785","932","1271","1425","1342","1113","913","906","848","864","853","863","1021","982",
"Gyeongnam","Medical Insurance","Thyroid Surgery - Bilateral thyroidectomy - 갑상선 수술(기타 질환에 의한 수술 포함)","Surgery Count[Unit]","Surgery","521","676","637","786","939","1276","1435","1346","1122","919","917","882","869","857","888","1038","1110",
"Gyeongnam","Medical Insurance","Congenital Heart Defect Surgery - PDA ligation - 선천성 심장기형 수술","Surgery Received Person[Person]","Person","63","72","58","392","435","526","476","464","376","","","","","","","","",
"Gyeongnam","Medical Insurance","Congenital Heart Defect Surgery - PDA ligation - 선천성 심장기형 수술","Surgery Count[Unit]","Surgery","63","73","59","402","448","541","501","483","383","","","","","","","","",
"Gyeongnam","Medical Insurance",Heart Surgery - Aortic valve replacement - 심장수술(관상동맥 우회수술 제외)","Surgery Received Person[Person]","Person","","","","","","","","","","408","467","421","446","467","538","496","534",
"Gyeongnam","Medical Insurance",Heart Surgery - Aortic valve replacement - 심장수술(관상동맥 우회수술 제외)","Surgery Count[Unit]","Surgery","","","","","","","","","","417","479","444","456","474","556","521","565",
"Gyeongnam","Medical Insurance","Cleft Lip and Palate Surgery - Bilateral thyroidectomy - 순열 및 구개열 수술","Surgery Received Person[Person]","Person","2","1","2","7","6","7","10","6","3","13","25","14","17","20","12","11","13",
"Gyeongnam","Medical Insurance","Cleft Lip and Palate Surgery - Bilateral thyroidectomy - 순열 및 구개열 수술","Surgery Count[Unit]","Surgery","2","1","2","9","7","7","11","6","4","16","26","15","17","20","14","12","13",
"Gyeongnam","Medical Insurance","Hemorrhoidectomy - 치핵 수술","Surgery Received Person[Person]","Person","15614","15418","15704","15467","13605","12575","13117","12557","12073","11699","11294","10828","9732","9254","8713","7891","7446",
"Gyeongnam","Medical Insurance","Hemorrhoidectomy - 치핵 수술","Surgery Count[Unit]","Surgery","15949","15717","16115","15940","13764","12678","13293","12709","12205","11812","11403","10980","9859","9345","8779","7967","7502",
"Gyeongnam","Medical Insurance","Endoscopic Spine Surgery - Laminectomy - 내시경하 척추수술","Surgery Received Person[Person]","Person","304","118","74","52","35","33","52","21","32","31","89","147","32","48","468","939","1149",
"Gyeongnam","Medical Insurance","Endoscopic Spine Surgery - Laminectomy - 내시경하 척추수술","Surgery Count[Unit]","Surgery","308","119","75","52","35","33","52","21","32","31","90","149","32","48","490","979","1179",
"Gyeongnam","Medical Insurance","General Spine Surgery - Laminectomy - 일반 척추수술","Surgery Received Person[Person]","Person","3572","4732","5207","6080","6980","6613","7399","7324","7558","8405","8771","9551","9125","9028","9823","10669","10780",
"Gyeongnam","Medical Insurance","General Spine Surgery - Laminectomy - 일반 척추수술","Surgery Count[Unit]","Surgery","3652","4876","5332","6264","7204","6833","7642","7561","7825","8743","9135","9959","9530","9442","10308","11198","11429",
"Gyeongnam","Medical Insurance","Endoscopic Sinus Surgery - Bilateral thyroidectomy - 내시경하 부비동 수술","Surgery Received Person[Person]","Person","","","","3124","3400","3316","3456","2984","2789","2589","2546","2506","2943","2845","1481","1484","1434",
"Gyeongnam","Medical Insurance","Endoscopic Sinus Surgery - Bilateral thyroidectomy - 내시경하 부비동 수술","Surgery Count[Unit]","Surgery","","","","3148","3423","3335","3480","3010","2807","2609","2569","2553","2970","2882","1502","1501","1478",
"Gyeongnam","Medical Insurance","General Sinus Surgery - Bilateral thyroidectomy - 일반 부비동 수술","Surgery Received Person[Person]","Person","1598","1543","1359","235","220","191","201","134","142","156","204","254","182","74","73","55","83",
"Gyeongnam","Medical Insurance","General Sinus Surgery - Bilateral thyroidectomy - 일반 부비동 수술","Surgery Count[Unit]","Surgery","1625","1572","1398","238","228","198","205","135","145","157","206","264","187","76","74","56","85",
"Gyeongnam","Medical Insurance","Stem Cell Transplantation - Liver transplantation - 줄기세포이식술","Surgery Received Person[Person]","Person","","","","","","","","","","","","","","","","","26",
"Gyeongnam","Medical Insurance","Stem Cell Transplantation - Liver transplantation - 줄기세포이식술","Surgery Count[Unit]","Surgery","","","","","","","","","","","","","","","","","27",
"Gyeongnam","Medical Benefit","Total","Surgery Received Person[Person]","Person","3362","3538","3476","3645","3596","2934","3199","3210","3336","3414","3507","3550","3524","3587","3580","3864","3777",
"Gyeongnam","Medical Benefit","Total","Surgery Count[Unit]","Surgery","3879","4453","4000","4303","4237","3486","3776","3778","3920","4032","4137","4239","4069","4210","4233","4664","4646",
"Gyeongnam","Medical Benefit","Cataract surgery - 백내장 수술","Surgery Received Person[Person]","Person","1006","1038","933","834","768","643","659","627","601","644","633","645","573","610","534","618","573",
"Gyeongnam","Medical Benefit","Cataract surgery - 백내장 수술","Surgery Count[Unit]","Surgery","1342","1525","1280","1232","1116","971","991","954","905","976","966","991","843","895","821","973","873",
"Gyeongnam","Medical Benefit","Tonsillectomy - Bilateral thyroidectomy - 편도절제술(아데노이드 적출술 유무에 상관없이)","Surgery Received Person[Person]","Person","61","93","109","92","96","67","58","43","49","40","37","44","47","28","26","26","13",
"Gyeongnam","Medical Benefit","Tonsillectomy - Bilateral thyroidectomy - 편도절제술(아데노이드 적출술 유무에 상관없이)","Surgery Count[Unit]","Surgery","61","98","109","93","97","69","58","44","50","41","37","44","47","29","26","28","14",
"Gyeongnam","Medical Benefit","PCI(Percutaneous Coronary Intervention)/PTCA - Aortic valve replacement - 경피적 관상동맥확장술 및 절제술","Surgery Received Person[Person]","Person","3","9","11","14","17","22","25","30","26","29","24","31","51","47","40","40","39",
"Gyeongnam","Medical Benefit","PCI(Percutaneous Coronary Intervention)/PTCA - Aortic valve replacement - 경피적 관상동맥확장술 및 절제술","Surgery Count[Unit]","Surgery","3","9","11","14","17","23","25","30","28","29","24","31","52","50","42","41","41",
"Gyeongnam","Medical Benefit","Stent Insertion - Aortic valve replacement - 스텐트삽입술","Surgery Received Person[Person]","Person","57","76","94","146","189","160","185","169","189","179","210","277","282","252","231","250","245",
"Gyeongnam","Medical Benefit","Stent Insertion - Aortic valve replacement - 스텐트삽입술","Surgery Count[Unit]","Surgery","61","79","96","150","192","166","191","175","195","182","217","287","291","270","239","279","269",
"Gyeongnam","Medical Benefit","Coronary Artery Bypass Graft - Graft replacement of Aorta - 관상동맥 우회수술","Surgery Received Person[Person]","Person","4","1","2","4","9","7","7","9","6","6","5","9","13","14","8","15","27",
"Gyeongnam","Medical Benefit","Coronary Artery Bypass Graft - Graft replacement of Aorta - 관상동맥 우회수술","Surgery Count[Unit]","Surgery","4","1","2","4","9","7","7","9","6","6","5","9","13","14","9","15","30",
"Gyeongnam","Medical Benefit","Cardiac Catheterization - Aortic valve replacement - 심장 카테터 삽입술","Surgery Received Person[Person]","Person","3","1","1","5","12","6","6","2","9","11","17","14","20","24","17","14","30",
"Gyeongnam","Medical Benefit","Cardiac Catheterization - Aortic valve replacement - 심장 카테터 삽입술","Surgery Count[Unit]","Surgery","3","1","1","6","13","6","7","2","9","11","19","15","21","31","20","15","33",
"Gyeongnam","Medical Benefit","Varicose Vein Ligation and Stripping - PDA ligation - 정맥류 결찰 및 제거수술","Surgery Received Person[Person]","Person","18","27","7","38","40","20","25","43","33","32","22","20","26","30","31","37","29",
"Gyeongnam","Medical Benefit","Varicose Vein Ligation and Stripping - PDA ligation - 정맥류 결찰 및 제거수술","Surgery Count[Unit]","Surgery","18","31","7","39","40","20","25","45","34","32","22","20","26","31","32","37","30",
"Gyeongnam","Medical Benefit","Appendectomy - Exploratory Laparotomy - 충수절제술","Surgery Received Person[Person]","Person","382","398","390","368","297","215","218","220","190","206","219","152","146","153","156","156","153",
"Gyeongnam","Medical Benefit","Appendectomy - Exploratory Laparotomy - 충수절제술","Surgery Count[Unit]","Surgery","384","431","390","368","297","215","219","220","191","206","219","153","146","154","160","159","161",
"Gyeongnam","Medical Benefit","Pacemaker Insertion, Replacement, Removal, and Adjustment - Aortic valve replacement - 심박조율장치의 삽입,교체,제거 및 교정","Surgery Received Person[Person]","Person","13","15","10","16","16","15","32","29","29","32","36","33","42","51","36","58","67",
"Gyeongnam","Medical Benefit","Pacemaker Insertion, Replacement, Removal, and Adjustment - Aortic valve replacement - 심박조율장치의 삽입,교체,제거 및 교정","Surgery Count[Unit]","Surgery","13","19","10","16","16","15","33","30","31","32","38","35","45","52","38","60","78",
"Gyeongnam","Medical Benefit","Cholecystectomy - Laparoscopic cholecystectomy - 담낭절제술(복강경적 담낭절제술 포함)","Surgery Received Person[Person]","Person","107","120","128","160","162","150","161","212","219","198","247","222","254","250","281","287","289",
"Gyeongnam","Medical Benefit","Cholecystectomy - Laparoscopic cholecystectomy - 담낭절제술(복강경적 담낭절제술 포함)","Surgery Count[Unit]","Surgery","107","136","128","161","162","150","162","212","219","201","248","226","254","250","295","301","314",
"Gyeongnam","Medical Benefit","Endoscopic and Percutaneous Biliary Surgery - Pylorus preserving pancreaticoduodenectomy - 내시경 및 경피적 담도수술","Surgery Received Person[Person]","Person","46","49","61","102","119","112","151","151","167","159","178","197","203","218","245","323","286",
"Gyeongnam","Medical Benefit","Endoscopic and Percutaneous Biliary Surgery - Pylorus preserving pancreaticoduodenectomy - 내시경 및 경피적 담도수술","Surgery Count[Unit]","Surgery","51","52","65","113","130","125","175","170","190","182","216","250","263","294","342","459","434",
"Gyeongnam","Medical Benefit","Inguinal and Femoral Hernia Surgery - Exploratory laparotomy - 서혜 및 대퇴 허니아 수술","Surgery Received Person[Person]","Person","117","104","96","75","91","51","63","74","83","77","67","63","59","86","59","71","63",
"Gyeongnam","Medical Benefit","Inguinal and Femoral Hernia Surgery - Exploratory laparotomy - 서혜 및 대퇴 허니아 수술","Surgery Count[Unit]","Surgery","118","115","102","78","94","51","64","74","83","77","68","64","60","87","62","72","67",
"Gyeongnam","Medical Benefit","Transurethral Resection of the Prostate (TURP) - Transurethral resection of prostate - 경요도 전립선 절제술","Surgery Received Person[Person]","Person","15","5","6","7","13","5","16","20","24","29","24","35","38","41","41","41","43",
"Gyeongnam","Medical Benefit","Transurethral Resection of the Prostate (TURP) - Transurethral resection of prostate - 경요도 전립선 절제술","Surgery Count[Unit]","Surgery","15","5","6","7","13","5","16","20","25","29","24","35","38","41","42","42","47",
"Gyeongnam","Medical Benefit","Prostatectomy - Prostatectomy - 전립선 절제술","Surgery Received Person[Person]","Person","3","2","1","2","3","5","4","3","7","5","3","5","3","2","6","5","3",
"Gyeongnam","Medical Benefit","Prostatectomy - Prostatectomy - 전립선 절제술","Surgery Count[Unit]","Surgery","3","2","1","2","3","5","4","3","7","5","3","5","3","2","6","5","3",
"Gyeongnam","Medical Benefit","Hysterectomy - Total abdominal hysterectomy - 자궁절제술","Surgery Received Person[Person]","Person","122","136","131","151","130","104","86","89","73","65","77","61","56","55","72","56","56",
"Gyeongnam","Medical Benefit","Hysterectomy - Total abdominal hysterectomy - 자궁절제술","Surgery Count[Unit]","Surgery","123","145","131","152","130","104","86","89","73","65","77","61","56","55","74","56","60",
"Gyeongnam","Medical Benefit","Cesarean Section - Low cervical cesarean section - 제왕절개수술","Surgery Received Person[Person]","Person","57","63","65","35","67","56","55","68","54","67","38","46","43","38","44","40","45",
"Gyeongnam","Medical Benefit","Cesarean Section - Low cervical cesarean section - 제왕절개수술","Surgery Count[Unit]","Surgery","57","67","66","35","68","57","55","68","54","67","38","47","43","38","44","40","45",
"Gyeongnam","Medical Benefit","Hip Replacement Surgery - Total hip replacement - 고관절 치환술","Surgery Received Person[Person]","Person","54","60","58","65","37","46","57","70","215","220","216","244","220","201","222","211","210",
"Gyeongnam","Medical Benefit","Hip Replacement Surgery - Total hip replacement - 고관절 치환술","Surgery Count[Unit]","Surgery","59","70","64","68","40","49","61","77","223","230","226","256","225","207","229","228","231",
"Gyeongnam","Medical Benefit","Knee Replacement Surgery - Total knee replacement - 슬관절 치환술","Surgery Received Person[Person]","Person","284","312","317","319","296","213","268","254","273","267","312","311","297","314","273","258","309",
"Gyeongnam","Medical Benefit","Knee Replacement Surgery - Total knee replacement - 슬관절 치환술","Surgery Count[Unit]","Surgery","305","353","334","342","321","224","289","272","304","283","332","324","307","329","293","265","345",
"Gyeongnam","Medical Benefit","Partial Mastectomy - Mastectomy - 유방 부분 절제술","Surgery Received Person[Person]","Person","12","18","18","11","34","20","27","31","31","30","32","36","38","29","33","53","49",
"Gyeongnam","Medical Benefit","Partial Mastectomy - Mastectomy - 유방 부분 절제술","Surgery Count[Unit]","Surgery","13","21","18","11","34","20","27","32","33","31","32","37","39","30","36","54","54",
"Gyeongnam","Medical Benefit","Total Mastectomy - Mastectomy - 유방 전 절제술","Surgery Received Person[Person]","Person","24","26","30","43","15","16","16","23","31","30","24","25","24","13","22","23","24",
"Gyeongnam","Medical Benefit","Total Mastectomy - Mastectomy - 유방 전 절제술","Surgery Count[Unit]","Surgery","24","30","31","45","16","16","16","23","31","31","24","26","24","13","24","25","26",
"Gyeongnam","Medical Benefit","Skull Base Surgery - Craniotomy and removal of brain tumor - 뇌기저부 수술","Surgery Received Person[Person]","Person","0","0","0","1","0","0","0","1","","","-","-","-","-","1","-","-",
"Gyeongnam","Medical Benefit","Skull Base Surgery - Craniotomy and removal of brain tumor - 뇌기저부 수술","Surgery Count[Unit]","Surgery","0","0","0","1","0","0","0","1","","","-","-","-","-","1","-","-",
"Gyeongnam","Medical Benefit","Brain Tumor Surgery - Craniotomy and removal of brain tumor - 뇌종양 수술","Surgery Received Person[Person]","Person","7","8","4","7","5","6","11","7","7","10","8","10","6","6","10","10","16",
"Gyeongnam","Medical Benefit","Brain Tumor Surgery - Craniotomy and removal of brain tumor - 뇌종양 수술","Surgery Count[Unit]","Surgery","7","8","4","7","5","6","11","7","7","10","8","10","6","6","10","12","18",
"Gyeongnam","Medical Benefit","Gastrectomy - Total gastrectomy - 위 절제술","Surgery Received Person[Person]","Person","29","45","38","60","49","37","44","45","43","65","43","53","49","43","41","60","62",
"Gyeongnam","Medical Benefit","Gastrectomy - Total gastrectomy - 위 절제술","Surgery Count[Unit]","Surgery","29","52","38","60","49","37","44","45","43","65","43","57","49","43","43","66","69",
"Gyeongnam","Medical Benefit","Liver Resection - Wedge resection of liver - 간 부분 절제술","Surgery Received Person[Person]","Person","2","11","8","16","19","13","21","26","24","23","36","20","18","19","24","31","23",
"Gyeongnam","Medical Benefit","Liver Resection - Wedge resection of liver - 간 부분 절제술","Surgery Count[Unit]","Surgery","2","11","8","16","19","13","23","26","24","23","36","21","18","19","26","34","29",
"Gyeongnam","Medical Benefit","Hepatic Embolization - Lobectomy of liver - 간색전술","Surgery Received Person[Person]","Person","51","63","51","78","74","78","106","109","102","111","130","136","120","115","108","122","124",
"Gyeongnam","Medical Benefit","Hepatic Embolization - Lobectomy of liver - 간색전술","Surgery Count[Unit]","Surgery","81","104","66","111","93","106","156","166","143","165","171","200","162","152","136","146","182",
"Gyeongnam","Medical Benefit","Thyroid Surgery - Bilateral thyroidectomy - 갑상선 수술(기타 질환에 의한 수술 포함)","Surgery Received Person[Person]","Person","22","39","32","26","38","32","31","37","35","33","22","24","30","34","26","33","37",
"Gyeongnam","Medical Benefit","Thyroid Surgery - Bilateral thyroidectomy - 갑상선 수술(기타 질환에 의한 수술 포함)","Surgery Count[Unit]","Surgery","22","43","32","26","38","32","31","37","35","33","22","24","30","34","27","33","39",
"Gyeongnam","Medical Benefit","Congenital Heart Defect Surgery - PDA ligation - 선천성 심장기형 수술","Surgery Received Person[Person]","Person","8","13","7","25","23","25","30","16","25","","","","","","","","",
"Gyeongnam","Medical Benefit","Congenital Heart Defect Surgery - PDA ligation - 선천성 심장기형 수술","Surgery Count[Unit]","Surgery","10","15","7","25","24","26","30","18","26","","","","","","","","",
"Gyeongnam","Medical Benefit",Heart Surgery - Aortic valve replacement - 심장수술(관상동맥 우회수술 제외)","Surgery Received Person[Person]","Person","","","","","","","","","","22","15","27","30","32","46","32","36",
"Gyeongnam","Medical Benefit",Heart Surgery - Aortic valve replacement - 심장수술(관상동맥 우회수술 제외)","Surgery Count[Unit]","Surgery","","","","","","","","","","23","15","29","30","32","46","32","39",
"Gyeongnam","Medical Benefit","Cleft Lip and Palate Surgery - Bilateral thyroidectomy - 순열 및 구개열 수술","Surgery Received Person[Person]","Person","0","0","0","1","2","0","2","","","","-","-","1","1","3","2","-",
"Gyeongnam","Medical Benefit","Cleft Lip and Palate Surgery - Bilateral thyroidectomy - 순열 및 구개열 수술","Surgery Count[Unit]","Surgery","0","0","0","1","2","0","3","","","","-","-","1","1","3","2","-",
"Gyeongnam","Medical Benefit","Hemorrhoidectomy - 치핵 수술","Surgery Received Person[Person]","Person","476","430","463","491","422","316","327","273","263","261","218","228","214","208","206","205","159",
"Gyeongnam","Medical Benefit","Hemorrhoidectomy - 치핵 수술","Surgery Count[Unit]","Surgery","484","478","481","507","428","322","328","275","264","262","220","228","215","210","209","209","160",
"Gyeongnam","Medical Benefit","Endoscopic Spine Surgery - Laminectomy - 내시경하 척추수술","Surgery Received Person[Person]","Person","12","3","2","1","1","0","2","","","1","4","3","8","4","17","34","30",
"Gyeongnam","Medical Benefit","Endoscopic Spine Surgery - Laminectomy - 내시경하 척추수술","Surgery Count[Unit]","Surgery","15","3","2","1","1","0","2","","","1","4","3","8","4","19","34","31",
"Gyeongnam","Medical Benefit","General Spine Surgery - Laminectomy - 일반 척추수술","Surgery Received Person[Person]","Person","386","428","433","477","613","532","583","595","664","686","723","729","723","792","839","929","908",
"Gyeongnam","Medical Benefit","General Spine Surgery - Laminectomy - 일반 척추수술","Surgery Count[Unit]","Surgery","397","472","451","496","633","552","616","625","706","735","773","770","758","839","882","981","992",
"Gyeongnam","Medical Benefit","Endoscopic Sinus Surgery - Bilateral thyroidectomy - 내시경하 부비동 수술","Surgery Received Person[Person]","Person","","","","108","112","84","89","76","50","70","62","54","67","75","50","54","44",
